,name,area,address,latitude,longitude
20813,치킨뱅이,인덕원,경기도 안양시 동안구 관양동 1505-23,37.400209999999994,126.97737
20815,치킨뱅이,신월동,서울특별시 양천구 신월동 147-5,37.535142,126.828175
20818,치킨뱅이,금촌동,경기도 파주시 금촌동 953-9,37.755475,126.773807
20820,치킨뱅이,수택동,경기도 구리시 수택동 482-2,37.597279,127.14305
20822,치킨뱅이,진접읍,경기도 남양주시 진접읍 부평리 612-2,37.742024,127.19851299999999
20823,치킨뱅이,광사동,경기도 양주시 광사동 657,37.793948,127.079127
20826,치킨뱅이,가산동,서울특별시 금천구 가산동 371-37,37.477189,126.883445
20828,치킨뱅이,병점동,경기도 화성시 병점동 203-23,37.213161,127.05163999999999
20829,치킨뱅이,관양동,경기도 안양시 동안구 관양동 810,37.40098,126.969699
20830,치킨뱅이,화성시,경기도 화성시,37.181209,127.090593
20836,치킨뱅이,응암역,서울특별시 은평구 신사동 23-5,37.5988,126.915
20837,치킨뱅이,지산동,경기도 평택시 지산동 1031,37.0806,127.061
20839,치킨뱅이 쌍문점,쌍문동,서울특별시 도봉구 쌍문동 19,37.659283,127.035224
20840,치킨버스,동교동,서울특별시 마포구 동교동 164-32,37.555642999999996,126.92365
20842,치킨버스,청라,인천광역시 서구 연희동 799-16,37.532677,126.651532
20843,치킨버스,왕십리,서울특별시 성동구 행당동 3-9,37.560908000000005,127.04006799999999
20844,치킨버스,안암,서울특별시 성북구 안암동5가 102-66,37.585524,127.02923200000001
20845,치킨버스,논현동,서울특별시 강남구 논현동 209,37.514513,127.03324099999999
20849,치킨보감,능동,경기도 화성시 능동 1113-6,37.209647,127.06098200000001
20851,치킨보이 PUB,성내동,서울특별시 강동구 성내동 172-4,37.535418,127.13053500000001
20852,치킨본색,월평동,대전광역시 서구 월평동 565,36.3569,127.365
20864,치킨비스,안산,경기도 안산시 단원구 고잔2동 539-5,37.318659999999994,126.839533
20867,치킨빠스,양재,서울특별시 서초구 양재동 241-3,37.473071999999995,127.03913899999999
20868,치킨빡스,석수동,경기도 안양시 만안구 석수동 417-3,37.432623,126.90131699999999
20869,치킨빡스,신평면,충청남도 당진시 신평면 거산리 6-6,36.8833,126.757
20871,치킨빡스,죽전동,경기도 용인시 수지구 죽전동 172-1,37.329937,127.124145
20886,치킨뽈로,석촌동,서울특별시 송파구 석촌동 211-13,37.501715999999995,127.097994
20891,치킨사냥,오류동,서울특별시 구로구 오류동 213,37.488032000000004,126.836874
20892,치킨사냥,시흥동,서울특별시 금천구 시흥동 1011,37.449045,126.91413
20896,치킨사냥,염창동,서울특별시 강서구 염창동 244-38,37.552964,126.87019
